workerId,task,index,rt,v,u,binned,shape,vsup,qV,qU,vError,uError,error,correct,condition
10,One,13,7340,0.45,0.1,discrete,square,yes,0.45,0.1,0,0,0,1,vsupdiscretesquare
10,One,15,4935,0.1,0.4,discrete,square,no,0.1,0.4,0,0,0,1,discretesquare
11,One,1,26787,0.7,0.1,discrete,arc,yes,0.7,0.1,0,0,0,1,vsupdiscretearc
10,One,12,8232,0.8,0.6,discrete,square,no,0.8,0.4,0,0.2,0.2,0,discretesquare
11,One,2,19200,0.45,0.1,discrete,square,yes,0.45,0.1,0,0,0,1,vsupdiscretesquare
9,One,11,15814,0.8,0.6,discrete,square,yes,0.8,0.6,0,0,0,1,vsupdiscretesquare
10,One,16,10578,0.2,0.1,discrete,arc,yes,0.2,0.1,0,0,0,1,vsupdiscretearc
11,One,6,11743,0.7,0.4,discrete,arc,no,0.7,0.4,0,0,0,1,discretearc
11,One,4,13251,0.8,0.4,discrete,arc,yes,0.8,0.4,0,0,0,1,vsupdiscretearc
11,One,5,14586,0.3,0.6,discrete,arc,yes,0.3,0.6,0,0,0,1,vsupdiscretearc
10,One,11,15157,0.8,0.6,discrete,arc,no,0.8,0.6,0,0,0,1,discretearc
11,One,10,7868,0.3,0.6,discrete,arc,yes,0.3,0.6,0,0,0,1,vsupdiscretearc
10,One,8,15670,0.4,0.8,discrete,square,no,0.4,0.8,0,0,0,1,discretesquare
11,One,11,6615,0.95,0.1,discrete,arc,no,0.95,0.1,0,0,0,1,discretearc
11,One,3,24094,0.3,0.6,discrete,arc,no,0.3,0.6,0,0,0,1,discretearc
11,One,12,10576,0.95,0.1,discrete,square,no,0.95,0.1,0,0,0,1,discretesquare
11,One,8,51016,0.4,0.8,discrete,square,no,0.4,0.8,0,0,0,1,discretesquare
11,One,14,5975,0.4,0.4,discrete,square,yes,0.4,0.4,0,0,0,1,vsupdiscretesquare
11,One,13,7133,0.1,0.4,discrete,arc,no,0.1,0.4,0,0,0,1,discretearc
11,One,15,15395,0.2,0.1,discrete,square,yes,0.2,0.1,0,0,0,1,vsupdiscretesquare
11,One,16,8817,0.4,0.4,discrete,square,no,0.4,0.4,0,0,0,1,discretesquare
12,One,2,13192,0.7,0.1,discrete,square,yes,0.7,0.1,0,0,0,1,vsupdiscretesquare
12,One,3,8978,0.4,0.4,discrete,square,no,0.4,0.4,0,0,0,1,discretesquare
12,One,5,9046,0.8,0.4,discrete,arc,yes,0.8,0.4,0,0,0,1,vsupdiscretearc
11,One,9,7935,0.1,0.4,discrete,square,yes,0.1,0.4,0,0,0,1,vsupdiscretesquare
11,One,7,21598,0.8,0.6,discrete,square,no,0.8,0.6,0,0,0,1,discretesquare
12,One,7,6542,0.7,0.1,discrete,arc,no,0.7,0.1,0,0,0,1,discretearc
12,One,9,16755,0.1,0.4,discrete,square,yes,0.1,0.4,0,0,0,1,vsupdiscretesquare
12,One,8,5771,0.95,0.1,discrete,square,no,0.95,0.1,0,0,0,1,discretesquare
12,One,4,7322,0.4,0.8,discrete,arc,no,0.4,0.8,0,0,0,1,discretearc
12,One,10,6449,0.7,0.1,discrete,arc,yes,0.7,0.1,0,0,0,1,vsupdiscretearc
12,One,12,7473,0.8,0.6,discrete,square,no,0.8,0.6,0,0,0,1,discretesquare
12,One,15,8476,0.45,0.1,discrete,square,yes,0.45,0.1,0,0,0,1,vsupdiscretesquare
12,One,11,7356,0.3,0.6,discrete,arc,no,0.4,0.4,-0.1,0.2,0.1,0,discretearc
13,One,1,54806,0.8,0.4,discrete,arc,yes,0.8,0.4,0,0,0,1,vsupdiscretearc
13,One,2,25963,0.8,0.6,discrete,arc,no,0.95,0.1,-0.15,0.5,0.35,0,discretearc
12,One,13,7244,0.8,0.6,discrete,arc,yes,0.8,0.6,0,0,0,1,vsupdiscretearc
12,One,6,10011,0.7,0.1,discrete,square,yes,0.7,0.1,0,0,0,1,vsupdiscretesquare
12,One,1,11249,0.4,0.4,discrete,square,no,0.4,0.4,0,0,0,1,discretesquare
12,One,16,6220,0.8,0.6,discrete,arc,yes,0.8,0.6,0,0,0,1,vsupdiscretearc
